"item_id","topic","condition_index","pc_prag","g_implied","pc_prag_c","g_c","pc_prop_c","mean_pc_prop_rating","soviel ich weiß","ja","bekanntlich","modal_marker","modal_prob","runner_up_prob","modal_margin","selected_marker","selected_prob","deviation_from_modal","log_prob_loss"
1,"klimawandel",0,"low","low",-0.5,-0.5,-1.19819848591562,88,0.226771622880597,0.344522679169012,0.428705697950391,"bekanntlich",0.428705697950391,0.344522679169012,0.0841830187813784,"ja",0.344522679169012,TRUE,0.218610744328281
1,"klimawandel",1,"low","high",-0.5,0.5,-1.19819848591562,88,0.145695579998635,0.303606578340255,0.55069784166111,"bekanntlich",0.55069784166111,0.303606578340255,0.247091263320856,"bekanntlich",0.55069784166111,FALSE,0
1,"klimawandel",2,"high","low",0.5,-0.5,-1.19819848591562,88,0.209164740410351,0.338450129694298,0.452385129895351,"bekanntlich",0.452385129895351,0.338450129694298,0.113935000201053,"ja",0.338450129694298,TRUE,0.290157120172779
1,"klimawandel",3,"high","high",0.5,0.5,-1.19819848591562,88,0.159186315599277,0.313114130581208,0.527699553819515,"bekanntlich",0.527699553819515,0.313114130581208,0.214585423238307,"bekanntlich",0.527699553819515,FALSE,0
2,"ernaehrung",0,"low","low",-0.5,-0.5,1.19819848591562,62,0.317593915120913,0.35754709707401,0.324858987805076,"ja",0.35754709707401,0.324858987805076,0.0326881092689336,"soviel ich weiß",0.317593915120913,TRUE,0.118493523274008
2,"ernaehrung",1,"low","high",-0.5,0.5,1.19819848591562,62,0.164763698136755,0.316294502588907,0.518941799274338,"bekanntlich",0.518941799274338,0.316294502588907,0.20264729668543,"bekanntlich",0.518941799274338,FALSE,0
2,"ernaehrung",2,"high","low",0.5,-0.5,1.19819848591562,62,0.287216736467888,0.356337850633054,0.356445412899057,"bekanntlich",0.356445412899057,0.356337850633054,0.000107562266002947,"soviel ich weiß",0.287216736467888,TRUE,0.215943998546819
2,"ernaehrung",3,"high","high",0.5,0.5,1.19819848591562,62,0.296454560063696,0.356923856710335,0.346621583225968,"ja",0.356923856710335,0.346621583225968,0.0103022734843666,"soviel ich weiß",0.296454560063696,TRUE,0.18562852023465
3,"stadtverkehr",0,"low","low",-0.5,-0.5,0.368676457204806,71,0.283349774291286,0.357706061412997,0.358944164295717,"bekanntlich",0.358944164295717,0.357706061412997,0.00123810288271908,"soviel ich weiß",0.283349774291286,TRUE,0.236484759139167
3,"stadtverkehr",1,"low","high",-0.5,0.5,0.368676457204806,71,0.156417435489366,0.313430129749108,0.530152434761526,"bekanntlich",0.530152434761526,0.313430129749108,0.216722305012418,"bekanntlich",0.530152434761526,FALSE,0
3,"stadtverkehr",2,"high","low",0.5,-0.5,0.368676457204806,71,0.257565526533506,0.354047816825148,0.388386656641346,"bekanntlich",0.388386656641346,0.354047816825148,0.034338839816198,"soviel ich weiß",0.257565526533506,TRUE,0.410727221438539
3,"stadtverkehr",3,"high","high",0.5,0.5,0.368676457204806,71,0.242262109008861,0.350709505288415,0.407028385702724,"bekanntlich",0.407028385702724,0.350709505288415,0.0563188804143097,"ja",0.350709505288415,TRUE,0.148924666213736
4,"digitalisierung",0,"low","low",-0.5,-0.5,-0.921691143012016,85,0.235877552979649,0.348038941716958,0.416083505303393,"bekanntlich",0.416083505303393,0.348038941716958,0.0680445635864354,"ja",0.348038941716958,TRUE,0.178571599019815
4,"digitalisierung",1,"low","high",-0.5,0.5,-0.921691143012016,85,0.14711282158265,0.305701688121293,0.547185490296057,"bekanntlich",0.547185490296057,0.305701688121293,0.241483802174764,"bekanntlich",0.547185490296057,FALSE,0
4,"digitalisierung",2,"high","low",0.5,-0.5,-0.921691143012016,85,0.216914106304674,0.342168351254753,0.440917542440573,"bekanntlich",0.440917542440573,0.342168351254753,0.0987491911858204,"ja",0.342168351254753,TRUE,0.253555008295714
4,"digitalisierung",3,"high","high",0.5,0.5,-0.921691143012016,85,0.171859337313829,0.321754489447943,0.506386173238228,"bekanntlich",0.506386173238228,0.321754489447943,0.184631683790285,"bekanntlich",0.506386173238228,FALSE,0
5,"schlaf",0,"low","low",-0.5,-0.5,0.0921691143012016,74,0.272528960057781,0.356628927087123,0.370842112855096,"bekanntlich",0.370842112855096,0.356628927087123,0.0142131857679736,"soviel ich weiß",0.272528960057781,TRUE,0.308031516309038
5,"schlaf",1,"low","high",-0.5,0.5,0.0921691143012016,74,0.154045541202077,0.312087850602381,0.533866608195542,"bekanntlich",0.533866608195542,0.312087850602381,0.221778757593161,"bekanntlich",0.533866608195542,FALSE,0
